Year,Month,Value,Model,Scenario
1979,3,16.846,ACCESS-CM2,ssp245
1979,9,6.877,ACCESS-CM2,ssp245
1980,3,17.099,ACCESS-CM2,ssp245
1980,9,7.903,ACCESS-CM2,ssp245
1981,3,17.086,ACCESS-CM2,ssp245
1981,9,7.201,ACCESS-CM2,ssp245
1982,3,16.882,ACCESS-CM2,ssp245
1982,9,7.244,ACCESS-CM2,ssp245
1983,3,16.695,ACCESS-CM2,ssp245
1983,9,8.344,ACCESS-CM2,ssp245
1984,3,17.707,ACCESS-CM2,ssp245
1984,9,8.372,ACCESS-CM2,ssp245
1985,3,17.619,ACCESS-CM2,ssp245
1985,9,7.922,ACCESS-CM2,ssp245
1986,3,17.581,ACCESS-CM2,ssp245
1986,9,7.302,ACCESS-CM2,ssp245
1987,3,17.657,ACCESS-CM2,ssp245
1987,9,7.618,ACCESS-CM2,ssp245
1988,3,17.632,ACCESS-CM2,ssp245
1988,9,8.042,ACCESS-CM2,ssp245
1989,3,17.941,ACCESS-CM2,ssp245
1989,9,7.452,ACCESS-CM2,ssp245
1990,3,17.549,ACCESS-CM2,ssp245
1990,9,8.096,ACCESS-CM2,ssp245
1991,3,17.597,ACCESS-CM2,ssp245
1991,9,7.248,ACCESS-CM2,ssp245
1992,3,17.685,ACCESS-CM2,ssp245
1992,9,8.04,ACCESS-CM2,ssp245
1993,3,17.746,ACCESS-CM2,ssp245
1993,9,8.231,ACCESS-CM2,ssp245
1994,3,17.804,ACCESS-CM2,ssp245
1994,9,7.471,ACCESS-CM2,ssp245
1995,3,17.082,ACCESS-CM2,ssp245
1995,9,6.868,ACCESS-CM2,ssp245
1996,3,16.916,ACCESS-CM2,ssp245
1996,9,6.37,ACCESS-CM2,ssp245
1997,3,17.489,ACCESS-CM2,ssp245
1997,9,6.27,ACCESS-CM2,ssp245
1998,3,17.399,ACCESS-CM2,ssp245
1998,9,6.909,ACCESS-CM2,ssp245
1999,3,16.992,ACCESS-CM2,ssp245
1999,9,7.137,ACCESS-CM2,ssp245
2000,3,17.245,ACCESS-CM2,ssp245
2000,9,6.048,ACCESS-CM2,ssp245
2001,3,16.261,ACCESS-CM2,ssp245
2001,9,6.763,ACCESS-CM2,ssp245
2002,3,16.809,ACCESS-CM2,ssp245
2002,9,6.37,ACCESS-CM2,ssp245
2003,3,16.561,ACCESS-CM2,ssp245
2003,9,7.273,ACCESS-CM2,ssp245
2004,3,16.25,ACCESS-CM2,ssp245
2004,9,6.425,ACCESS-CM2,ssp245
2005,3,16.506,ACCESS-CM2,ssp245
2005,9,6.44,ACCESS-CM2,ssp245
2006,3,16.745,ACCESS-CM2,ssp245
2006,9,7.321,ACCESS-CM2,ssp245
2007,3,16.563,ACCESS-CM2,ssp245
2007,9,7.453,ACCESS-CM2,ssp245
2008,3,16.71,ACCESS-CM2,ssp245
2008,9,6.492,ACCESS-CM2,ssp245
2009,3,17.08,ACCESS-CM2,ssp245
2009,9,6.863,ACCESS-CM2,ssp245
2010,3,16.641,ACCESS-CM2,ssp245
2010,9,7.463,ACCESS-CM2,ssp245
2011,3,16.983,ACCESS-CM2,ssp245
2011,9,5.809,ACCESS-CM2,ssp245
2012,3,16.256,ACCESS-CM2,ssp245
2012,9,5.5,ACCESS-CM2,ssp245
2013,3,16.09,ACCESS-CM2,ssp245
2013,9,5.369,ACCESS-CM2,ssp245
2014,3,16.495,ACCESS-CM2,ssp245
2014,9,5.725,ACCESS-CM2,ssp245
2015,3,15.781,ACCESS-CM2,ssp245
2015,9,6.367,ACCESS-CM2,ssp245
2016,3,16.091,ACCESS-CM2,ssp245
2016,9,5.869,ACCESS-CM2,ssp245
2017,3,16.07,ACCESS-CM2,ssp245
2017,9,6.201,ACCESS-CM2,ssp245
2018,3,16.156,ACCESS-CM2,ssp245
2018,9,5.932,ACCESS-CM2,ssp245
2019,3,15.528,ACCESS-CM2,ssp245
2019,9,6.097,ACCESS-CM2,ssp245
2020,3,16.296,ACCESS-CM2,ssp245
2020,9,5.646,ACCESS-CM2,ssp245
2021,3,15.694,ACCESS-CM2,ssp245
2021,9,4.995,ACCESS-CM2,ssp245
2022,3,15.998,ACCESS-CM2,ssp245
2022,9,4.294,ACCESS-CM2,ssp245
2023,3,15.411,ACCESS-CM2,ssp245
2023,9,4.444,ACCESS-CM2,ssp245
2024,3,15.436,ACCESS-CM2,ssp245
2024,9,3.736,ACCESS-CM2,ssp245
2025,3,15.687,ACCESS-CM2,ssp245
2025,9,4.189,ACCESS-CM2,ssp245
2026,3,15.383,ACCESS-CM2,ssp245
2026,9,5.177,ACCESS-CM2,ssp245
2027,3,15.453,ACCESS-CM2,ssp245
2027,9,2.378,ACCESS-CM2,ssp245
2028,3,15.312,ACCESS-CM2,ssp245
2028,9,2.836,ACCESS-CM2,ssp245
2029,3,15.542,ACCESS-CM2,ssp245
2029,9,2.085,ACCESS-CM2,ssp245
2030,3,14.982,ACCESS-CM2,ssp245
2030,9,4.392,ACCESS-CM2,ssp245
2031,3,15.331,ACCESS-CM2,ssp245
2031,9,3.116,ACCESS-CM2,ssp245
2032,3,15.349,ACCESS-CM2,ssp245
2032,9,4.048,ACCESS-CM2,ssp245
2033,3,15.651,ACCESS-CM2,ssp245
2033,9,2.514,ACCESS-CM2,ssp245
2034,3,15.925,ACCESS-CM2,ssp245
2034,9,2.801,ACCESS-CM2,ssp245
2035,3,15.564,ACCESS-CM2,ssp245
2035,9,3.171,ACCESS-CM2,ssp245
2036,3,15.757,ACCESS-CM2,ssp245
2036,9,3.322,ACCESS-CM2,ssp245
2037,3,15.856,ACCESS-CM2,ssp245
2037,9,1.668,ACCESS-CM2,ssp245
2038,3,15.429,ACCESS-CM2,ssp245
2038,9,0.154,ACCESS-CM2,ssp245
2039,3,14.526,ACCESS-CM2,ssp245
2039,9,0.691,ACCESS-CM2,ssp245
2040,3,14.154,ACCESS-CM2,ssp245
2040,9,1.198,ACCESS-CM2,ssp245
2041,3,14.471,ACCESS-CM2,ssp245
2041,9,1.274,ACCESS-CM2,ssp245
2042,3,14.443,ACCESS-CM2,ssp245
2042,9,0.258,ACCESS-CM2,ssp245
2043,3,14.87,ACCESS-CM2,ssp245
2043,9,0.497,ACCESS-CM2,ssp245
2044,3,14.778,ACCESS-CM2,ssp245
2044,9,0.205,ACCESS-CM2,ssp245
2045,3,14.712,ACCESS-CM2,ssp245
2045,9,0.506,ACCESS-CM2,ssp245
2046,3,14.306,ACCESS-CM2,ssp245
2046,9,0.334,ACCESS-CM2,ssp245
2047,3,14.535,ACCESS-CM2,ssp245
2047,9,0.322,ACCESS-CM2,ssp245
2048,3,14.593,ACCESS-CM2,ssp245
2048,9,0.359,ACCESS-CM2,ssp245
